annee,texte
"2019","Paris, IESA arts &amp; culture<br>« Guy de Montlaur (1918-1977) C’était une guerre étrange ! »<br>Campus de l’innovation culturelle, 1 cité Griset, 75011 Paris.<br>À l’occasion du colloque L&#39;art et la guerre dans l&#39;histoire de l&#39;avant-garde (1909-2019) organisé par l’IESA arts&amp;culture et l’Université Paris8 « Littérature, Histoires, Esthétique »."
"2019","Institut d'État des Études de l'Art du Ministère de la Culture de la Fédération de Russie (SIAS) / Государственный институт искусствознания Министерства культуры РФ (ГИИ) (Moscou,Russie)"
"2018","The National WWII Museum, (La Nouvelle Orléans, États-Unis)<br>« In Memory of what I Cannot Say »"
"2017","Hôtel Saint Regis, Nikolskaya (Moscou, Russie)<br>Exposition organisée par Boogie Gallery"
"2017","Restaurant Med' (“Медь”), Tverskaya (Moscou, Russie)<br>Exposition organisée par Boogie Gallery"
"2017","World Art Dubai, Dubai World Trade Centre (Dubai)<br>Exposition organisée par Boogie Gallery"
"2016","Exposition « Soldat et Peintre », Galerie « Exposed », Shabolovka (Moscou, Russie)<br>Exposition organisée par Boogie Gallery"
"2016","Institut français de Russie Moscou, Russie)"
"2016","Union des Salles d'Exposition de Moscou, Galerie « Na Kashirke33 » (Moscou, Russie)"
"2016","Maison Poklewski-Koziell, Musée Régional de Sverdlovsk (Iekaterinbourg, Russie)"
"2016","Centre des Expositions de l'Union des Artistes de Russie (Tcheliabinsk, Russie)"
"2015","Galerie Nationale des Beaux-Arts de Perm (Perm, Russie)"
"2014 - 2015","Pegasus Mémorial Pegasus (Ranville, Calvados, France)"
"2013 - 2014","Château de Montlaur (Hérault, France)"
"2012","Orangerie du château de La Thibaudière (Maine-et-Loire, France)"
"2012","Mémorial Pegasus et bibliothèque de Ranville (Calvados, France)"
"1994","Montgomery Gallery (San Francisco, États-Unis)"
"1994","Ambassade de France (Washington DC, États-Unis)"
"1971","Exposition Galerie Rolf Lutz (Paris, France)"
"1959","Exposition du Comité France-Amérique (Paris, France)"
"1950 - 1958","Salon des Réalités Nouvelles (Paris, France)"
"1951 - 1954","Exposition Galerie Colette Allendy (Paris, France)"
"1951","3e exposition de l'Art club - Hôtel Negresco (Nice, France)"
"1949 - 1950","Salon des Surindépendants (Paris, France)"
"1949","Exposition à la Galerie Lucienne-Léonce Rosenberg (Paris, France)"
"1937","Salon des Artistes Français (Paris, France)"
