annee,texte
"2019","Париж, Высшая школа искусств IESA arts&amp;culture<br>“Ги де Монлор (1918-1977). Это была странная война!”<br>С 1 по 5 апреля, 2019, Campus de l’Innovation Culturelle, 1 cité Griset, 75011 Paris.<br>Выставка в рамках медународной научной конференции “L’art et la guerre dans l’histoire de l’avant-garde (1909-2019)”, организована Высшей школой искусств IESA art & culture и Университетом Париж 8"
"2017","Отель St Regis Nikolskaya Moscow (Москва, Россия)<br>Выставка организована Boogie Gallery"
"2017","Ресторан “Медь” (Москва, Россия)<br>Выставка организована Boogie Gallery"
"2017","World Art Dubai, Dubai World Trade Centre (Дубай)<br>Выставка организована Boogie Gallery"
"2016","Выставка «Soldat et peintre» в галерее Exposed (Москва, Россия)<br>Выставка организована Boogie Gallery"
"2016","Выставка во Французском институте в России  (Москва, Россия)"
"2016","Выставка в Выставочном зале «На Каширке» (Объединение «Выставочные залы Москвы») (Москва, Россия)"
"2016","Выставка в Музейно-выставочном центре «Дом Поклевских — Козелл» Свердловского областного краеведческого музея (Екатеринбург, Россия)"
"2016","Выставка в Выставочном зале Челябинского отделения Союза художников России (Челябинск, Россия)"
"2015","Выставка в Пермской государственной художественной галерее (Пермь, Россия)"
"2014 - 2015","Постоянная выставка «Пегас перед высадкой» в мемориальном музее «Мост Пегас» (Ранвиль, Кальвадос, Франция)"
"2013 - 2014","Выставка в фамильном замке де Монлор (Эро, Франция)"
"2012","Выставка в Оранжерее замка Ла Тибодьер (Мэн и Луара, Франция)"
"2012","Выставка в мемориальном музее «Мост Пегас» и городской библиотеке (Кальвадос, Франция)"
"1994","Выставка в галерее Монтгомери (Сан-Франциско, США)"
"1994","Выставка во французском посольстве (Вашингтон, США)"
"1971","Выставка в галерее Рольфа Лутца (Париж, Франция)"
"1959","Выставка «20 художников американских — 20 художников французских» (Париж, Франция)"
"1950 - 1958","Салон Réalités Nouvelles, (Париж, Франция)"
"1951 - 1954","Выставки в галерее Colette Allendy (Париж, Франция)"
"1951","3-я выставка Клуба Художников - Гостиница Негреско (Ницца, Франция)"
"1949 - 1950","Выставка Surindépendants (Париж, Франция)"
"1949","Выставка в галерее Люсьен-Леонс Розенберг (Париж, Франция)"
"1937","Салон французских художников (Париж, Франция)"
